Employer,"Doing Business As","Account Status","Date Enrolled","Date Terminated","Workforce Size","Number of Hiring Sites","Hiring Site Locations (by state)"
ACORD,,Open,01/12/2017,,"20 to 99",1,NY
"Acorn Claims, LLC",,Open,02/06/2020,,"20 to 99",1,MO
"Acorn Growth Companies",,Open,08/15/2012,,"5 to 9",1,OK
"Acorns Grow, Inc.",Acorns,Open,01/10/2013,,"100 to 499",1,CA
"Acosta Group & Financial Services INC","Acosta Financial INC",Open,06/12/2009,,"10 to 19",2,FL
"ACQ Holdings LLC",,Open,08/12/2013,,"100 to 499",1,KS
Acquave,,Open,01/29/2018,,"5 to 9",1,OH
"Acquisition Management Group, Inc.",,Open,02/12/2014,,"5 to 9",1,GA
"ACR Capital LLC",,Open,04/27/2015,,"20 to 99",1,NY
"Acrisure LLC",,Open,05/17/2016,,"100 to 499",22,"AL, AZ, GA, LA, NC, TN"
"Acropolis Investment Management",,Open,10/11/2010,,"20 to 99",1,MO
"ACS Benefit Services LLC",,Open,12/27/2012,,"100 to 499",1,NC
"ActForex, Inc",,Open,08/22/2011,,"10 to 19",1,NY
"Actinver Securities",,Open,11/22/2017,,"20 to 99",1,TX
"Action  Finance Corp",,Open,01/28/2019,,"5 to 9",1,MS
"Action Capital Corporation",,Open,05/02/2011,,"10 to 19",1,GA
"Action Claim Service, Inc.",,Open,08/13/2018,,"10 to 19",1,AR
"Action Financial Holdings, LLC",,Terminated,04/29/2013,07/05/2014,"5 to 9",1,FL
"Active Auto Insurance Services Inc",,Open,04/29/2013,,"10 to 19",1,CA
"ActiveHours, Inc","Earnin, Inc",Terminated,03/01/2019,04/01/2019,"100 to 499",3,"CA, NV, OH"
"Activehours, Inc","earnin, Inc",Open,04/13/2016,,"100 to 499",1,CA
"Activest Wealth Management LLC",,Open,03/18/2020,,"5 to 9",1,FL
"Actuarial Group, Inc","AGI Services",Open,06/19/2012,,"10 to 19",1,GA
"Actuarial Management Resources, Inc",,Open,10/26/2012,,"20 to 99",1,NC
"ACTUARIAL RESOURCES CORPORATION OF AMERICA","ACTUARIAL RESOURCES CORPORATION OF AMERICA",Terminated,11/30/2012,01/09/2015,"20 to 99",1,KS
"ACTUARIAL RESOURCES CORPORATION OF KANSAS","ACTUARIAL RESOURCES CORPORATION OF KANSAS",Terminated,11/30/2012,01/09/2015,"20 to 99",1,KS
"Acuff & Acuff Accounting",,Open,11/03/2016,,"5 to 9",55,"FL, GA, NC, SC, TN"
"Acuity Group of Mississippi",,Open,08/30/2017,,"10 to 19",3,"AR, LA, MS"
"ACUITY, A Mutual Insurance Company",,Open,07/25/2014,,"1,000 to 2,499",1,WI
"ACUITY, A Mutual Insurance Company",,Open,09/14/2015,,"1,000 to 2,499",1,WI
"Acumen Financial Group",,Terminated,02/18/2009,03/05/2009,"5 to 9",1,MN
"Acumen, LLC.",,Open,07/01/2009,,"100 to 499",2,"AZ, UT"
"Acupay System LLC",,Open,01/27/2014,,"10 to 19",1,NY
"AD Carta LLC",,Open,05/09/2019,,"20 to 99",2,"CT, IL"
"AD Carta LLC","Alter Domus",Open,06/18/2019,,"100 to 499",2,"CT, IL"
"ADAIR MACCLLELAN ALEXANDRIA & ASSOCIATES, LLC","AMA & ASSOCIATES, LLC",Open,06/02/2016,,"5 to 9",1,TX
"Adam Tafoya State Farm Agency","Adam Tafoya State Farm Agency",Open,03/06/2012,,"5 to 9",1,CA
"Adams Bank & Trust",,Open,02/18/2014,,"100 to 499",18,"CO, KS, NE"
"Adams Bank and Trust",,Open,06/29/2011,,"100 to 499",3,"CO, NE"
"Adams Community Bank",,Open,11/26/2013,,"20 to 99",1,MA
"Adams County Board of Supervisors","Bookkeeping and Benefits Department",Open,03/08/2011,,"100 to 499",1,MS
"Adams Dairy Bank",,Terminated,09/19/2016,07/11/2018,"10 to 19",1,MO
"Adamson Insurance Agency, Inc.",,Open,07/25/2012,,"5 to 9",1,AL
"Addition Financial",,Open,03/01/2019,,"500 to 999",1,FL
"Addrex, Inc.",,Open,05/10/2016,,"10 to 19",1,VA
"ADELANTE INTERNATIONAL INCORPORATED",,Open,10/28/2010,,"5 to 9",1,TX
"Adelco Insurance Services, Inc.","Top Value Insurance Services",Open,11/15/2018,,"10 to 19",1,CA
"Adena Partners Management LLC","Nest. Bio Ventures",Open,11/07/2017,,"5 to 9",1,MA
"ADENA PARTNERS MANAGEMENT LLC","NEST.BIO VENTURES",Open,02/08/2019,,"5 to 9",1,MA
"Adhesion Wealth Advisor Solutions",,Terminated,05/14/2014,09/03/2017,"20 to 99",1,NC
"Adhesion Wealth Advisor Solutions Inc",,Open,12/05/2017,,"20 to 99",1,NC
"Adjusters International/Basloe, Levin & Cuccaro Ltd.",,Open,08/07/2019,,"10 to 19",1,NY
"ADJUSTMENT SERVICES INC.",AMERICLAIM,Open,11/18/2014,,"5 to 9",1,GA
"Admin Partners LLC","Admin Partners LLC",Open,10/20/2016,,"10 to 19",2,"NJ, PA"
"ADMINISTRATIVE CLAIM SERVICE, INC.",,Open,01/05/2010,,"100 to 499",1,MA
"ADMINISTRATIVE ENTERPRISES, INC",,Open,02/08/2008,,"20 to 99",1,AZ
"Administrators Advisory Group",,Open,11/15/2007,,"5 to 9",1,FL
"ADP Federal Credit Union",,Terminated,08/02/2012,02/10/2017,"10 to 19",2,"GA, NJ"
"ADP Retirement Services",,Open,06/09/2015,,"500 to 999",1,NH
"Adriana Milan State Farm Insurance","Adriana Milan State Farm Insurance",Open,07/24/2012,,"5 to 9",1,IL
"Adrianas Insurance",,Open,07/20/2012,,"100 to 499",1,CA
"Advance America","Advance America Cash Advance",Open,11/13/2019,,"5,000 to 9,999",1893,"AL, CA, CO, DE, FL, IA, ID, IL, IN, KS, KY, LA, MI, MS, MT, NE, NV, OH, OK, RI, SC, TN, TX, UT, VA, WA, WI, WY"
"Advance America , Cash Advance Centers, Inc",,Open,12/31/2008,,"500 to 999",10,"AL, AZ, LA, MI, MS, NV, PA, SC, TN, VA"
"Advance Business Capital, LLC","Triumph Business Capital",Open,09/19/2017,,"100 to 499",1,TX
"Advance Financial Corporation",,Open,12/04/2012,,"10 to 19",1,GA
"Advance Mortgage Corporation",,Open,04/26/2012,,"20 to 99",1,KS
"Advance Payroll Funding, LTD.",,Open,09/03/2009,,"20 to 99",1,OH
"Advanced Banking Services",,Terminated,06/12/2018,06/22/2018,"100 to 499",13,"GA, TN"
"Advanced Banking Services","Calfee Sale Group",Open,06/22/2018,,"100 to 499",13,"GA, TN"
"Advanced Call Center Technologies LLC",,Open,08/04/2011,,"2,500 to 4,999",8,"AZ, CA, NM, PA, TN, TX"
"ADVANCED E&S OF FLORIDA, INC",,Open,02/05/2009,,"10 to 19",1,FL
"Advanced F&I Solutions",,Open,08/06/2015,,"5 to 9",1,OH
"Advanced Financial Services, Inc.",,Open,10/17/2007,,"100 to 499",1,RI
"Advanced Insurance Services of NE LLC","RHD Financial Services",Open,01/15/2013,,"5 to 9",1,NE
"Advanced Investment Partners, LLC",,Terminated,03/15/2013,05/12/2016,"10 to 19",1,FL
"Advanced Planning Group of New York",,Open,02/08/2019,,"20 to 99",1,NY
"Advanced Portfolio Management, LLC",,Open,07/16/2013,,"5 to 9",1,NY
"Advanced Reimbursement Management",,Open,12/18/2007,,"100 to 499",1,AZ
"Advancial Federal Credit Union",,Open,04/06/2008,,"100 to 499",13,"AK, LA, OK, TX"
"Advanta Captial Markets Inc","Advanta FX",Open,01/03/2018,,"20 to 99",1,PA
"Advantage Bank",,Open,09/18/2009,,"20 to 99",1,OK
"Advantage Credit Inc",,Open,01/10/2008,,"10 to 19",1,CO
"Advantage Funding Management Co., Inc",,Terminated,08/22/2017,06/29/2018,"10 to 19",4,"AZ, GA, NC, NY"
"Advantage Futures LLC",,Open,07/06/2009,,"20 to 99",1,IL
"Advantage Home Loans Inc.",,Open,11/28/2007,,"10 to 19",1,AZ
"ADVANTAGE INSURERS INC",,Open,10/20/2011,,"5 to 9",1,GA
"Advantage Land Title Agency, LLC",,Open,01/08/2008,,"5 to 9",1,AZ
"Advantage Lending LLC",,Open,02/08/2012,,"5 to 9",2,"NC, NJ"
"Advantage One Credit Union",,Open,03/08/2018,,"20 to 99",1,MI
"Advantage Platform Services",,Open,12/05/2017,,"20 to 99",1,NY
"Advantage Professional Management, LLC",,Open,01/31/2018,,"100 to 499",1,OR
"Advantage Title & Escrow LLC",,Open,02/18/2020,,"20 to 99",6,AR
"Advantage Workers Compensation Insurance Company",,Open,08/20/2010,,"20 to 99",2,UT
AdvantageData,,Open,11/16/2016,,"20 to 99",1,MA
Advantica,,Open,04/02/2012,,"100 to 499",3,"FL, MD, MO"
"Advantis Credit Union",,Open,04/11/2014,,"100 to 499",1,OR
"Advantis Credit Union",,Open,07/16/2018,,"100 to 499",1,OR
"Advent International Corporation","Advent International",Open,05/06/2019,,"100 to 499",3,"CA, MA, NY"
"Advent International Corporation","Advent International Corporation",Open,05/23/2019,,"100 to 499",1,MA
Adventfs,,Open,06/15/2016,,"10 to 19",1,KY
"Adventistn Risk Management, Inc.",,Open,11/26/2012,,"100 to 499",1,MD
"Advisor Financial Services, LLP",,Open,06/19/2012,,"5 to 9",1,GA
"Advisor Group, Inc",,Open,08/23/2016,,"500 to 999",5,"AZ, CA, GA, MN, NY"
"Advisor Growth Strategies",,Open,08/20/2013,,"5 to 9",1,AZ
"ADVISORNET FINANCIAL",,Open,05/09/2017,,"20 to 99",1,MN
"Advisors Academy LLC",,Open,03/12/2018,,"20 to 99",2,"CT, FL"
"Advisors Asset Management, Inc",,Open,09/27/2011,,"100 to 499",22,"AZ, CA, CO, FL, GA, IL, KS, MA, MD, ME, MI, NC, NJ, NY, OH, PA, TN, TX, VA, WA"
"Advisors Excel, LLC",,Open,05/16/2017,,"100 to 499",1,KS
"AdvisorShares Investments, LLC",,Open,04/16/2013,,"10 to 19",1,MD
"Advisory Services & Investments, LLC",,Open,09/29/2014,,"5 to 9",4,"OR, WA"
"Advize Health LLC","Advize Health",Open,03/25/2015,,"20 to 99",1,FL
"Advocate Financial Group, LLC",,Terminated,01/23/2012,04/29/2015,"10 to 19",1,GA
"Adyen Inc.",Adyen,Open,02/16/2017,,"20 to 99",1,CA
"AE Insurance, LLC","American Exchange LLC",Open,09/30/2019,,"20 to 99",1,TN
"AEA Federal Credit Union",,Open,07/25/2007,,"100 to 499",1,AZ
"AEA Federal Credit Union",,Open,02/09/2018,,"100 to 499",1,AZ
"AEA Federal Credit Union",,Open,06/15/2016,,"100 to 499",1,AZ
"Aegea Capital Management",,Open,04/23/2018,,"5 to 9",1,IL
"AEGIAS Corporation",,Open,03/26/2008,,"5 to 9",1,GA
"Aegis Financial Services",,Open,10/31/2016,,"20 to 99",1,CO
"Aegis Home Protection","Aegis Home Protection",Open,08/22/2019,,"20 to 99",1,MO
"Aegis Insurance Services, Inc.",,Open,10/24/2013,,"10 to 19",1,GA
"AEGIS Insurance Services, Inc.",,Open,08/11/2016,,"100 to 499",1,NJ
"Aegis Services",,Open,10/27/2009,,"5 to 9",1,NY
"AEGON USA Realty Advisors, Inc.",,Terminated,08/15/2008,09/26/2011,"500 to 999",1,IA
"AEI Management, LLC",,Open,05/06/2014,,"20 to 99",1,TX
"AEM Loan Corporation",,Open,09/13/2016,,"20 to 99",1,CA
"AeroEquity Partners, LLC",,Open,06/08/2017,,"20 to 99",1,FL
"Aetna Life Insurance Company, Parent, Subsidiaries and Affiliates",,Open,07/16/2007,,"10,000 and over",233,"AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
"AEU Benefits, LLC.",,Open,05/05/2017,,"10 to 19",4,"LA, TN, TX"
"AF&L Insurance Company","AF&L Insurance Company",Open,10/21/2019,,"10 to 19",1,PA
"AFAM Capital, Inc.","AF Holdings, Inc.",Open,01/26/2016,,"20 to 99",2,"CA, TX"
"AFC First Financial Corp",,Open,10/26/2011,,"20 to 99",1,PA
"Affiliated Financial Group",,Terminated,06/23/2010,04/09/2014,"100 to 499",3,"CO, ID, WA"
"Affinity Bank",,Open,06/24/2013,,"20 to 99",1,GA
"Affinity Capital Exchange Inc.",,Open,09/12/2012,,"5 to 9",1,NY
"Affinity Federal Credit Union",,Open,11/29/2017,,"100 to 499",1,NJ
"Affinity Group Management Co., Inc.",,Open,12/12/2012,,"20 to 99",1,MO
"Affinity Group Mortgage Services LLC",,Open,10/22/2009,,"20 to 99",1,OH
"Affinity Health Plan",,Open,05/07/2019,,"500 to 999",1,NY
"Affinity Plus Federal Credit Union",,Terminated,06/10/2014,04/17/2015,"500 to 999",1,MN
"Affinity Plus Federal Credit Union",,Terminated,11/10/2011,04/18/2015,"100 to 499",1,MN
"Affinity Plus Federal Credit Union",,Open,02/19/2015,,"500 to 999",1,MN
"Affinity Plus Federal Credit Union","Affinity Plus Federal Credit Union",Open,10/16/2018,,"500 to 999",1,MN
"Affinity Service Group",,Terminated,01/15/2014,02/06/2016,"10 to 19",1,GA
"Affordable Housing Loans, LLC",,Open,03/12/2019,,"10 to 19",1,AZ
"affordable insurance concepts, inc.",,Open,06/18/2008,,"5 to 9",1,OR
Aflac,,Open,05/03/2019,,"10,000 and over",1,WA
Aflac,,Terminated,08/12/2008,03/02/2020,"2,500 to 4,999",1,GA
Aflac,,Open,08/14/2008,,"100 to 499",1,NE
"Aflac Incorporated",,Open,04/04/2012,,"2,500 to 4,999",4,"GA, NE, NY, SC"
"Aflac New York",,Open,08/13/2008,,"100 to 499",1,NY
"AFS Acceptance, LLC","AFS Acceptance, LLC",Open,11/25/2015,,"20 to 99",1,FL
"AFS Insurance Services Inc","Associated Food Stores",Open,12/04/2015,,"5 to 9",1,UT
"Ag Credit, ACA",,Open,05/13/2019,,"100 to 499",1,OH
"AG Financial Solutions",,Open,09/20/2010,,"100 to 499",1,MO
"Ag New Mexico Farm Credit",,Terminated,04/09/2018,09/02/2019,"20 to 99",1,NM
"Ag Resource Management, LLC",,Open,06/18/2019,,"100 to 499",34,"AR, CO, GA, IA, IL, IN, KS, LA, MI, MN, MO, MS, NC, ND, NE, OH, SC, SD, TX, WI"
"AGA Enterprises LLC","Cossio Insurance Agency",Open,04/12/2016,,"20 to 99",1,SC
"Agate Resources, Inc.","Agate Healthcare",Open,04/24/2012,,"100 to 499",1,OR
"AGC ALFERMANN GRAY AND CO CPAS LLC.",,Open,12/12/2011,,"10 to 19",1,MO
"AgCarolina Farm Credit",,Open,04/07/2017,,"100 to 499",1,NC
"AgChoice Farm Credit",,Open,09/05/2014,,"100 to 499",1,PA
"Agents National Title Holding Company",,Open,03/17/2017,,"10 to 19",1,MO
"AgFirst Farm Credit Bank",,Open,07/01/2010,,"100 to 499",1,SC
"AgFirst Farm Credit Bank","AgFirst Farm Credit Bank",Open,02/21/2020,,"100 to 499",1,SC
"AgGeorgia Farm Credit, ACA",,Open,08/27/2012,,"100 to 499",1,GA
"AgHeritage, FLCA",,Open,05/15/2019,,"20 to 99",1,AR
"AgileCap, LLC",,Open,01/30/2019,,"5 to 9",1,UT
"Agility Net LLC","Agility 360",Open,03/06/2017,,"20 to 99",1,TX
"AGIS Florida Agency LLC",AGIS,Open,06/07/2012,,"20 to 99",1,FL
"AGK Restaurants Inc Defined Benefit Plan and Trust",,Open,10/15/2015,,"500 to 999",1,AZ
"AGM Financial Services Inc.",,Open,04/16/2014,,"10 to 19",1,MD
"AGRI GENERAL INSURANCE SERVICE, INC.",,Open,06/29/2009,,"100 to 499",8,"CA, GA, IA, MN, NC, NE, TX, WA"
"Agri-Services Agency, LLC",,Open,05/21/2018,,"20 to 99",1,NY
"Agri-Services Agency, LLC",,Open,03/29/2014,,"100 to 499",1,NY
"AgriBank, FCB",,Open,02/02/2015,,"100 to 499",1,MN
"AgriLogic Insurance Services, LLC",,Open,02/04/2011,,"100 to 499",7,"CA, IL, KS, TX"
"AgSouth Farm Credit",,Open,08/12/2010,,"100 to 499",30,"GA, SC"
"AgStar Financial Services","Lookout Ridge Consulting",Open,10/20/2011,,"500 to 999",1,MN
"AGT INC","Stinson insurance",Open,08/02/2019,,"10 to 19",1,VA
"AHG FINANCIAL INC.",,Open,07/29/2019,,"10 to 19",1,CA
"AHP Servicing LLC",,Open,06/12/2018,,"10 to 19",1,IL
"AHS & Associates Inc","ACHS Insurance",Open,10/22/2013,,"20 to 99",1,GA
"AI Insurance Group, LLC",,Open,05/10/2013,,"20 to 99",1,GA
"AI Surplus Lines Agency, Inc.",,Open,03/31/2008,,"20 to 99",1,AZ
"AI Ventures Management, LLC",,Open,08/16/2018,,"10 to 19",1,CA
"AIA Group LLC","AIA Group",Open,08/31/2015,,"10 to 19",1,IL
"AIC Underwriters LLC",,Open,05/06/2014,,"10 to 19",1,TN
"AIFG Insurance Marketing",,Open,05/29/2018,,"5 to 9",1,CA
"AIG Aviation Adjustment Services, Inc",,Open,01/28/2010,,"20 to 99",1,AZ
"AIG Aviation, Inc.",,Open,01/29/2008,,"20 to 99",1,AZ
"AIG Casualty Company",,Open,01/09/2008,,"20 to 99",1,AZ
"AIG Domestic Claims, Inc.",,Open,01/08/2008,,"20 to 99",1,AZ
"AIG Enterprise Services Inc.",,Terminated,06/15/2012,03/02/2020,"10,000 and over",1,TX
"AIG Marketing, Inc.",,Terminated,01/07/2008,09/23/2011,"100 to 499",3,AZ
"Aiken & Company",,Open,07/25/2012,,"10 to 19",1,SC
"AIM Systems, Inc.",,Open,06/12/2013,,"20 to 99",1,GA
"AimBank Mortgage",,Open,08/27/2018,,"20 to 99",1,TX
"AIMC, LLC",,Open,12/17/2013,,"20 to 99",1,GA
"AIMS INSURANCE PROGRAM MANAGERS, INC",,Open,11/05/2013,,"10 to 19",1,AZ
"AIMS Insurance Program Managers, Inc.",,Terminated,10/16/2007,12/12/2013,"10 to 19",1,AZ
"AIMS Insurance Program Managers, Inc.",,Open,08/24/2015,,"10 to 19",1,AZ
"AIP IV LLC",,Open,12/15/2008,,"10 to 19",2,"FL, NY"
"Air Ambulance Billing",,Terminated,06/17/2014,10/23/2015,"5 to 9",1,AZ
"Air Force Federal Credit Union",,Open,08/19/2019,,"100 to 499",1,MS
"Airfleet Capital Inc",,Open,04/11/2012,,"20 to 99",1,AZ
airlink,,Open,05/21/2010,,"20 to 99",1,CA
"Airman Services, Inc",,Open,01/25/2012,,"500 to 999",5,"TX, VA"
AIRMI,,Open,06/16/2008,,"10 to 19",2,"GA, NY"
"Airport Insurance Associates, Inc.","HHM Insurors",Open,05/20/2019,,"20 to 99",1,PA
"AIRSOUTH INSURANCE, INC","AIRSOUTH INSURANCE, INC",Open,04/30/2012,,"5 to 9",1,AL
"Aisha Holding Corporation",,Open,01/28/2019,,"5 to 9",1,FL
"Aithon Capital Management, LP",,Open,08/04/2015,,"5 to 9",1,NY
Aiuto,,Open,02/07/2017,,"5 to 9",1,NY
"Ajilon Professional Staffing LLC",,Terminated,12/23/2008,10/22/2016,"10,000 and over",80,CO
"Ajo Insurance Center",,Open,12/20/2007,,"5 to 9",1,AZ
"Akin & Associates Inc.",,Open,04/09/2012,,"5 to 9",1,AL
"Akirix L. L.C.",Akirix,Terminated,01/12/2015,02/23/2015,"5 to 9",1,UT
"Akkadian Financial, Inc.",,Open,02/24/2020,,"5 to 9",1,FL
"Aksia, LLC",,Open,08/13/2012,,"20 to 99",1,GA
"Akuna Capital LLC",,Open,04/15/2015,,"100 to 499",3,"IL, MA"
"Akuna Capital LLC",,Open,10/30/2019,,"100 to 499",2,"IL, MA"
"Akuna Capital LLC",,Open,08/13/2014,,"100 to 499",1,IL
"Akuna Capital LLC","Akuna Capital",Terminated,11/07/2011,05/31/2012,"20 to 99",1,IL
"Al Boenker Insurance Agency, Inc",,Open,07/05/2017,,"100 to 499",1,TX
"Al Boenker Insurance Agency, Inc.",,Open,01/13/2017,,"100 to 499",1,TX
"AL CAMPBELL INSURANCE AGENCY, INC.",,Open,08/01/2019,,"5 to 9",1,SC
"Alabama 1st Capital Credit Union",,Open,08/17/2007,,"20 to 99",1,AL
"Alabama Ag Credit, ACA",,Open,08/03/2011,,"20 to 99",1,AL
"Alabama Central Credit Union",,Open,06/29/2018,,"20 to 99",9,AL
"Alabama Central Credit Union",,Terminated,12/28/2016,05/08/2019,"20 to 99",1,AL
"Alabama Central Credit Union","Alabama Central Credit Union",Open,11/27/2018,,"20 to 99",1,AL
"Alabama Credit Corporation",,Open,03/21/2012,,"20 to 99",1,AL
"Alabama Credit Union",,Open,12/16/2011,,"100 to 499",19,AL
"Alabama Credit Union",,Open,12/16/2016,,"100 to 499",19,AL
"Alabama Family Trust Corp.",,Open,04/28/2016,,"5 to 9",1,AL
"Alabama Farm Credit, ACA",,Open,02/14/2012,,"20 to 99",1,AL
"Alabama Home Builders Self Insurers Fund",,Open,12/21/2011,,"20 to 99",1,AL
"ALABAMA HOME MORTGAGE LOANS INC",,Open,08/26/2019,,"5 to 9",11,AL
"Alabama Housing Finance Authority",,Open,01/06/2012,,"20 to 99",1,AL
"Alabama Insurance Guaranty Assoc",,Open,05/22/2012,,"10 to 19",1,AL
"Alabama Insurance Guaranty Association",,Open,01/28/2016,,"10 to 19",1,AL
"Alabama Insurance Guaranty Association",AIGA,Open,03/11/2019,,"10 to 19",1,AL
"Alabama Insurance Underwriting Association",,Open,03/29/2012,,"20 to 99",1,AL
"Alabama Law Enforcement Credit Union",,Open,10/12/2012,,"5 to 9",1,AL
"Alabama One Credit Union",,Open,03/14/2012,,"100 to 499",1,AL
"ALABAMA RIVER CREDIT UNION",,Open,03/08/2012,,"5 to 9",1,AL
"ALABAMA RURAL ELECTRIC  CREDIT UNION",,Open,04/04/2012,,"5 to 9",1,AL
"Alabama Self-Insured Workers Compensation Fund",,Open,06/22/2012,,"10 to 19",1,AL
"Alabama State Banking Department",,Open,07/21/2011,,"100 to 499",1,AL
"Alabama State Employees Credit Union",,Open,03/12/2012,,"20 to 99",1,AL
"Alabama Teachers Credit Union",,Open,03/23/2012,,"20 to 99",1,AL
"Alabama Title Co Inc.",,Open,03/30/2012,,"10 to 19",1,AL
"Alabama Title Loans Inc",,Open,03/28/2012,,"100 to 499",1,GA
"Alabama Title Loans, Inc",,Open,04/29/2016,,"20 to 99",1,GA
"Alabama Title Loans, Inc",,Terminated,10/04/2010,10/25/2010,"20 to 99",1,GA
"Alabama Title Loans, Inc",,Open,02/24/2015,,"20 to 99",1,GA
"Alabama Trucking Association Workers Compensation Self Insurance Fund",,Open,03/01/2012,,"5 to 9",1,AL
"Alacrity Renovation Services, LLC","Alacrity Services",Open,01/28/2014,,"20 to 99",2,"NC, OR"
"Alagen LLC",,Open,06/02/2017,,"20 to 99",1,AZ
"Alambic Investment Management, L.P.",,Open,07/19/2016,,"10 to 19",1,CA
"Alameda Alliance for Health",,Open,06/30/2011,,"100 to 499",1,CA
"Alameda Alliance Health",,Open,05/31/2007,,"100 to 499",1,CA
"Alameda Mortgage Corporation",,Open,06/26/2018,,"20 to 99",1,CA
"Alamo Insurance Group, Inc.",,Open,05/06/2015,,"10 to 19",1,NJ
"Alamo Insurance Services dba Charles, Garland and Harris",,Terminated,06/10/2008,12/07/2017,"5 to 9",1,NM
"ALAMO TITLE COMPANY",,Open,04/22/2010,,"20 to 99",1,TX
"Alan Gray LLC",,Open,02/09/2016,,"20 to 99",20,"CA, CT, FL, GA, IL, MA, NC, NJ, NY, OH, PA, TX, WA"
"Alan Gray, Inc.",,Open,03/04/2009,,"20 to 99",1,MA
"Alare Capital Securities, LLC",,Open,02/11/2008,,"10 to 19",1,AZ
"Alaric Compliance Services LLC",,Open,11/05/2012,,"10 to 19",2,"NC, NY"
"Alaska Growth Capital BIDCO, Inc.",,Open,04/17/2015,,"10 to 19",4,"AK, MT, ND, WY"
"Alaska USA Federal Credit Union",,Terminated,04/18/2008,08/09/2014,"1,000 to 2,499",56,"AK, WA"
"Alaska USA Federal Credit Union",,Open,04/22/2014,,"1,000 to 2,499",87,"AK, AZ, CA, CO, FL, GA, NH, OR, WA"
"AlaTrust Credit Union",,Open,01/22/2013,,"20 to 99",6,AL
"AlaTrust, Inc.",,Open,03/30/2012,,"5 to 9",1,AL
"Alberleen Family Office Solutions *LXP*",,Terminated,05/22/2017,02/03/2020,"5 to 9",1,NY
"Albert Fried & Company, LLC",,Open,02/23/2009,,"20 to 99",1,NY
"Albion Financial Group","Albion Financial",Open,07/15/2010,,"10 to 19",1,UT
"Albourne America LLC",,Open,08/18/2009,,"20 to 99",2,"CA, CT"
"Albritton Insurance Services, LLC",,Open,02/05/2016,,"10 to 19",1,FL
"ALC Insurance Services",,Open,04/06/2010,,"5 to 9",1,CA
"Alchemy Marketplace Inc.",,Open,10/01/2019,,"20 to 99",1,NY
"Alcoa Tenn Federal Credit Union",,Open,09/14/2016,,"20 to 99",1,TN
"Alcoa Tenn Federal Credit Union",,Terminated,12/23/2008,02/23/2011,"20 to 99",1,TN
"ALCOVA Mortgage LLC",,Open,12/18/2018,,"100 to 499",1,VA
"ALERA GROUP INC.",,Open,04/19/2018,,"1,000 to 2,499",40,"CA, CO, CT, FL, IA, IL, MA, MD, NJ, NY, OH, OR, PA, SC, TN, TX, WA, WI"
"Alerus Financial",,Open,11/28/2012,,"20 to 99",1,MN
"Alerus Financial",,Open,11/28/2012,,"100 to 499",1,ND
"Alex McCune State Farm",,Open,07/30/2012,,"5 to 9",1,AL
"Alex Vargas Agency",,Open,02/07/2017,,"5 to 9",1,NJ
"Alexander & Company","Alexander & Company",Open,04/11/2012,,"20 to 99",1,GA
"Alexander and Associates, Inc",,Open,07/26/2010,,"5 to 9",1,TN
"Alfa Mutual Insurance",,Open,06/02/2011,,"500 to 999",1,AL
"Alfa Services",,Open,06/02/2011,,"20 to 99",1,AL
"Algert Global LLC",,Open,01/15/2014,,"10 to 19",1,CA
"Alhambra Credit Union",,Open,11/01/2007,,"10 to 19",2,AZ
"Aliera Healthcare",,Open,05/03/2019,,"100 to 499",1,GA
"Aliera Healthcare, Inc.",,Open,08/24/2017,,"20 to 99",1,GA
"Align Credit Union",,Open,08/31/2018,,"100 to 499",1,MA
"Aligned Insurance LLC",,Open,01/21/2020,,"5 to 9",1,AL
"Alignment Health Plan (HIZ)",,Terminated,08/22/2014,02/03/2020,"100 to 499",1,CA
"Alipay US, Inc.",,Open,09/21/2018,,"20 to 99",3,"CA, NY, WA"
"Alison Manna Accounting","Ali Accounting",Open,06/26/2018,,"10 to 19",1,CA
"Alkan Mortgage Corporation","Certified Mortgage Planners",Open,03/09/2015,,"20 to 99",1,FL
Alkanza,Alkanza,Open,10/25/2018,,"20 to 99",1,CA
"All About Contents LLC",,Open,08/17/2018,,"10 to 19",1,GA
"ALL AMERICA BANK",,Open,08/02/2016,,"100 to 499",8,OK
"All American Check Cashing",,Open,09/18/2012,,"100 to 499",1,MS
"ALL BUSINESS CORPORATION","US EXPRESS MONEY ORDER",Open,09/01/2015,,"10 to 19",1,GA
"All FInancial Services",,Open,04/23/2010,,"5 to 9",1,MD
"all in 1 realty and finance, inc",,Open,01/10/2008,,"5 to 9",1,AZ
"All in Credit Union",,Open,07/31/2014,,"100 to 499",1,AL
